Soil_Type,Model,CV_R2_mean,CV_R2_std,CV_MAE_mean,CV_RMSE_mean
clay,RF_clay,0.975645133259946,0.003331969724256242,2.600180025371016,4.522289621515943
loamy,RF_loamy,0.9711517501463401,0.004770634658762998,3.8388613987361593,6.2753341877972755
peaty,RF_peaty,0.9698720910326619,0.0016131559273715702,2.2306015700304003,3.827632894546565
saline,RF_saline,0.9752831615945545,0.002660796688816868,2.208733565048951,3.7926853260085642
sandy,RF_sandy,0.9773706741484448,0.005216035154685544,2.0848899883306413,3.411674497274928
