Soil_Type,Model,CV_R2_mean,CV_R2_std,CV_MAE_mean,CV_RMSE_mean
Clay,RF_Clay,0.9756401485721575,0.0033303279317414922,2.600376767864008,4.5227748582911875
Loamy,RF_Loamy,0.969652397000545,0.004346376735211752,3.9074014107022483,6.459272381419304
Peaty,RF_Peaty,0.9698693821293043,0.0016117388323993599,2.230685237675344,3.8278045082506815
Saline,RF_Saline,0.9752828687656867,0.002660475801459176,2.208731932994129,3.7927091794061605
Sandy,RF_Sandy,0.9773708569995669,0.0052186550327806116,2.0847258050844837,3.4116408309135067
